source,answer_id,question_id,question,answer
https://workdrive.zoho.in/file/4xdjh43d43f4eac154c28b7134605a703c1fc,694b91ed0d03bcc0ede26ee4,694aef5a0d03bcc0ede26d47,What is the recommended dose and application method of Ferterra for controlling stem borer in paddy?,"For effective control of stem borer (sundi) in paddy crops, Ferterra is a highly recommended insecticide when applied correctly. The recommended dose is 4 kg of Ferterra, which contains Chlorantraniliprole 0.4% granules, per acre. For proper application, the 4 kg granules should be thoroughly mixed with 15–20 kg of fine, dry sand to ensure uniform distribution, as sand acts as a carrier for even spreading. This mixture should then be broadcast uniformly over one acre of the paddy field. For best results, Ferterra should be applied during critical crop growth stages when stem borer infestation is most likely, particularly during the kharif season in Punjab, around July, when the crop is in the active tillering to vegetative stage. Early monitoring and timely application help prevent significant yield loss. At the time of application, the field should have adequate moisture with about 2–3 inches of standing water to enhance the effectiveness of the granular formulation. The application should be done during morning or evening hours under calm weather conditions, avoiding windy situations to prevent uneven spread. While applying Ferterra, farmers should wear protective gear such as gloves and masks, keep children and livestock away from treated fields for at least 24 hours, avoid contamination of water bodies, and store unused product in a cool, dry place away from food and animal feed. Chlorantraniliprole provides long-lasting control, works by disrupting insect muscle function, leading to feeding cessation and death, and has minimal impact on beneficial insects when used as directed, making it a suitable option for integrated pest management in paddy cultivation."
https://workdrive.zoho.in/file/4xdjh3dcfe4359918436bb7cb46f8df55b6d5,694b91ed0d03bcc0ede26ee4,694aef5a0d03bcc0ede26d47,What is the recommended dose and application method of Ferterra for controlling stem borer in paddy?,"For effective control of stem borer (sundi) in paddy crops, Ferterra is a highly recommended insecticide when applied correctly. The recommended dose is 4 kg of Ferterra, which contains Chlorantraniliprole 0.4% granules, per acre. For proper application, the 4 kg granules should be thoroughly mixed with 15–20 kg of fine, dry sand to ensure uniform distribution, as sand acts as a carrier for even spreading. This mixture should then be broadcast uniformly over one acre of the paddy field. For best results, Ferterra should be applied during critical crop growth stages when stem borer infestation is most likely, particularly during the kharif season in Punjab, around July, when the crop is in the active tillering to vegetative stage. Early monitoring and timely application help prevent significant yield loss. At the time of application, the field should have adequate moisture with about 2–3 inches of standing water to enhance the effectiveness of the granular formulation. The application should be done during morning or evening hours under calm weather conditions, avoiding windy situations to prevent uneven spread. While applying Ferterra, farmers should wear protective gear such as gloves and masks, keep children and livestock away from treated fields for at least 24 hours, avoid contamination of water bodies, and store unused product in a cool, dry place away from food and animal feed. Chlorantraniliprole provides long-lasting control, works by disrupting insect muscle function, leading to feeding cessation and death, and has minimal impact on beneficial insects when used as directed, making it a suitable option for integrated pest management in paddy cultivation."
https://workdrive.zoho.in/file/4xdjhf632cbf2eb914e1cb03ea113596076ab,694bac320d03bcc0ede26f79,694aef5a0d03bcc0ede26ccc,How can I prevent seeds from floating when applying irrigation to my Paddy nursery?,"Seed floating during irrigation is a common challenge in paddy nursery. When seeds float away, it results in uneven seed distribution, poor germination rates, and ultimately affects the quality of seedlings available for transplanting. To address this issue effectively, farmers should implement proper seed protection measures.

The most effective solution is to apply a covering layer immediately after broadcasting the paddy seeds in the nursery bed. Prepare a mixture by combining farmyard manure (FYM) with sand in appropriate proportions. The farmyard manure should be well-decomposed and sieved to remove large particles. Mix approximately 2-3 parts of sand with 1 part of fine farmyard manure. This mixture serves multiple purposes in your nursery management.

After broadcasting the pre-soaked and sprouted paddy seeds uniformly over the prepared nursery bed, spread this sand-FYM mixture as a thin covering layer of about 0.5 to 1 cm thickness over the seeds. This covering layer acts as a physical barrier that anchors the seeds in place, preventing them from floating when you apply irrigation water. The weight of the sand helps keep seeds stationary while the organic matter from FYM provides additional nutrients to the developing seedlings.

This method also offers protection against birds, which are particularly active during the early stages of nursery establishment in June when you're preparing your paddy nursery. Birds can cause significant seed losses by feeding on exposed seeds, but the covering layer makes it difficult for them to access the seeds.

When applying irrigation after covering, use a gentle shower method rather than flooding or heavy watering. This ensures that water penetrates gradually without disturbing the seed bed. Maintain adequate moisture levels by applying light irrigation 2-3 times daily during the initial days. The nursery should be kept moist but not waterlogged until germination is complete and seedlings are well-established, which typically takes 3-4 days after sowing. This practice will ensure uniform germination and healthy seedling development for successful transplanting in your main paddy field."
https://workdrive.zoho.in/file/435hh6bc80b1b0084419d8da3ae4ed0667ff0,694e14a58aab50c8d431b1a8,694aef5a0d03bcc0ede26d15,What are the control measures for Southern Rice Black-Streaked Dwarf Virus (SRBSDV) in paddy crop?,"Southern Rice Black-Streaked Dwarf Virus (SRBSDV) causes significant dwarfing disease in paddy, characterized by stunted growth and white chlorotic spots on leaves. Infected plants grow only 1/2 to 1/3 the height of healthy plants, develop weak roots that can be easily pulled out, produce smaller panicles, and show empty grains. This viral disease is transmitted by the White-Backed Plant Hopper (WBPH) persistently, and since there is no curative treatment for viral diseases, preventive management is crucial.
For effective control, farmers should implement regular monitoring practices. Inspect the paddy fields weekly by gently tapping and shaking 2-3 plants at their base. If WBPH nymphs or adults are seen floating on water, immediate action is required. The disease is more prevalent in early transplanted crops, so farmers in Punjab should strictly follow the transplanting schedule recommended by Punjab Agricultural University (PAU). This practice not only helps manage the viral disease but also conserves water.
Chemical control should target the vector (WBPH) rather than the virus itself. When WBPH presence is detected, spray appropriate insecticides directed at the base of plants. Recommended insecticides include Pexalon 10 SC (Triflumezopyrim), Osheen/Token 20 SG (Dinotefuran), or Chess 50 WG (Pymetrozine). These should be applied targeting the lower parts of the plant where hoppers congregate.
Cultural practices play a vital role in disease management. Avoid excessive nitrogen fertilizer application as it promotes WBPH population growth. Instead, use balanced fertilization with split applications of nitrogen. Implement Alternate Wetting and Drying (AWD) irrigation techniques to manage water levels, as waterlogging and stagnant water encourage pathogen spread. Physical barriers or nets can be used to protect plants from WBPH infestation.
Weed management is also important since SRBSDV can infect various weed species that serve as alternate hosts. In cases of low infection rates, promptly remove and destroy infected tillers or plants to prevent further spread. Regular scouting is particularly critical during early and pre-junction stages between early and late summer rice crops when WBPH populations are typically higher."
https://workdrive.zoho.in/file/fh79n936469d2c39e4fdb8bf4ef0ea227cc23,694e1cef8aab50c8d431b20a,694e089c8aab50c8d431b0db,Can we mix two herbicides for spray on Paddy Basmati in Punjab?,"Yes, mixing two compatible herbicides for Paddy Basmati can be done, but it requires careful consideration. You should mix only herbicides that have different modes of action to prevent resistance and ensure they are chemically compatible. Common combinations in Punjab paddy fields include mixing pre-emergence herbicides like Pendimethalin with post-emergence herbicides like Bispyribac - sodium or Fenoxaprop. However, always read the product labels carefully, conduct a jar test to check for physical compatibility, avoid mixing products that may cause phytotoxicity, and follow recommended doses for each herbicide. It's advisable to consult with local agricultural extension officers or experts before mixing herbicides to ensure effectiveness and crop safety specific to Basmati varieties."
https://workdrive.zoho.in/file/shhine78443325ed54d56852b47ef6c349114,694e4785aca96f5efbe2fea0,694e089c8aab50c8d431b0e6,What is the recommended method for foliar application of chelated zinc in paddy cultivation?,"For effective management of zinc deficiency in paddy, use 100% water-soluble chelated zinc as a foliar spray, as it ensures quick absorption by the plant. Chelated zinc enhances chlorophyll formation, promotes early leaf greening, and improves photosynthesis and protein synthesis, which ultimately leads to better crop yield, root development, and plant immunity. It also works efficiently in high-pH and saline soils and increases the efficiency of applied NPK fertilizers.
The foliar spray should be applied during the early vegetative growth stage. If deficiency symptoms persist, a second spray can be given at the flowering or panicle initiation stage. In zinc-deficient fields, spraying may be repeated at an interval of 15–20 days. For application, dissolve 100 g of chelated zinc in 150–200 liters of water per acre and spray uniformly over the crop. Avoid spraying during mid-day hours to prevent leaf scorch; early morning or late afternoon is recommended."
https://workdrive.zoho.in/file/shhina49d8ae2b9a0496bb8a6936c50b59efc,694e4950aca96f5efbe2feb5,694aef5a0d03bcc0ede26ced,What information is available regarding the subsidy for direct seeded rice (DSR) crop in Punjab?,"The Punjab government provides subsidies for direct seeded rice (DSR) cultivation as part of its efforts to promote water conservation and sustainable agricultural practices. Direct seeded rice is an alternative method to traditional transplanted paddy cultivation that saves water, labor, and energy while reducing cultivation costs.

To apply for the DSR subsidy, farmers need to fill out an online application form through the official Punjab Agri Machinery portal at https://www.agrimachinerypb.com/. This portal is the central platform for accessing various agricultural machinery subsidies and government schemes in Punjab.

The DSR subsidy typically covers:

Machinery and Equipment Support: Subsidies are provided on various farm equipment needed for direct seeding such as happy seeders, zero-till seed drills, and other specialized machinery. The subsidy amount usually ranges from 40-50% of the equipment cost, subject to government guidelines.

Application Process: Farmers should register on the portal with their land records, Aadhaar card, bank account details, and other relevant documents. The application should be submitted before the Kharif season begins, ideally in May-June, to ensure timely processing.

Eligibility Criteria: Individual farmers, cooperative societies, and farmer producer organizations (FPOs) can apply. Priority is often given to small and marginal farmers.

Benefits of DSR: This method saves approximately 15-20% water compared to traditional transplanting, reduces methane emissions, eliminates the need for nursery preparation, and allows timely sowing which can improve yields.

Important Considerations: Farmers adopting DSR should ensure proper weed management, use recommended seed varieties, and follow the package of practices prescribed by Punjab Agricultural University. The subsidy is subject to budget availability and government policies, so farmers are advised to check the portal regularly for updates and deadlines.

For detailed information, technical support, and application status, farmers can contact their local agriculture department office or the district agriculture officer in Muktsar."
https://workdrive.zoho.in/file/510qadd4fc8741a66466e8b40ebe82fada610,694e4af9aca96f5efbe2fed1,694e2b44aca96f5efbe2fdba,What is Chlorpyriphos 20EC and how is it used as an insecticide in paddy cultivation?,"Chlorpyriphos 20% EC is an organophosphate insecticide widely used in paddy (rice) cultivation to control various pests. It contains 20% Chlorpyriphos in emulsifiable concentrate form. In paddy crops, it is effective against stem borers, leaf folders, gall midges, hispa and whorl maggots. The typical dosage is 500 ml per acre, mixed with 200-400 liters of water for foliar spray. It should be applied when pest infestation is noticed at the early stage. The insecticide works by inhibiting the nervous system of insects. Safety precautions include wearing protective equipment during application, maintaining a pre-harvest interval as per product label, and avoiding application during flowering stage or windy conditions. Always follow the manufacturer's instructions and local agricultural department guidelines for best results.
"
https://workdrive.zoho.in/file/510qa42afcdc5832744ca9ad699cceef953a9,694e4edbaca96f5efbe2ff10,694e2b44aca96f5efbe2fd96,What is the recommended dose of Padan (Cartap Hydrochloride) for controlling leaf folder in paddy?,"For controlling leaf folder & stem borer in paddy, Padan (Cartap Hydrochloride 50% SP) should be applied at the rate of 400 grams per acre. Mix the recommended dose in sufficient water (approximately 200-400 liters per acre) and spray uniformly on the crop. Apply the insecticide when early symptoms of leaf folder & stem borer infestation are noticed, typically during the vegetative to tillering stage. For effective control, ensure good coverage of the foliage and repeat the application if necessary after 10-15 days, depending on the severity of infestation. Always follow the PHI (Pre Harvest Interval) of 21 days."
https://workdrive.zoho.in/file/510qa7157b589dddc47a5a52d9f37ae60cae1,694e4edbaca96f5efbe2ff10,694e2b44aca96f5efbe2fd96,What is the recommended dose of Padan (Cartap Hydrochloride) for controlling leaf folder in paddy?,"For controlling leaf folder & stem borer in paddy, Padan (Cartap Hydrochloride 50% SP) should be applied at the rate of 400 grams per acre. Mix the recommended dose in sufficient water (approximately 200-400 liters per acre) and spray uniformly on the crop. Apply the insecticide when early symptoms of leaf folder & stem borer infestation are noticed, typically during the vegetative to tillering stage. For effective control, ensure good coverage of the foliage and repeat the application if necessary after 10-15 days, depending on the severity of infestation. Always follow the PHI (Pre Harvest Interval) of 21 days."
https://workdrive.zoho.in/file/gsz1ocf0f6361560c4f2f99d431c8d6afd1ee,694e597838eee18abb6bbd4f,694e0ce68aab50c8d431b123,Can we mix nutrients and fungicides together for paddy crop in Punjab?,"The compatibility of specific nutrients and fungicides determines whether they can be mixed. Generally, water-soluble fertilizers such as urea, DAP (Diammonium Phosphate), and micronutrients can be combined with fungicides if they are compatible. However, it is important to avoid mixing alkaline fertilizers with acidic fungicides, as they may react negatively. Always refer to the product labels for compatibility information.
It is advisable to conduct a jar test before mixing in a tank. To do this, mix small quantities of the products in a jar, wait for 30 minutes, and observe for any precipitation, curdling, or separation. 
For paddy crops, when combining foliar nutrients with fungicides like propiconazole or azoxystrobin, ensure the proper pH and avoid mixing with alkaline compounds. If you are uncertain, it is best to apply the treatments separately, with an interval of 2 to 3 days, to maximize the effectiveness of both."
https://workdrive.zoho.in/file/bhhqudeb3f04595834568875f23bf654ac07f,694e658538eee18abb6bbde2,694e2b44aca96f5efbe2fdc6,What are the effective methods for controlling whitefly and mites in rice/paddy cultivation in Punjab?,"Whitefly is not a major pest in paddy, while the primary mite that attacks paddy is the panicle mite. Whitefly may cause slight yellowing of leaves and weak growth; it may produce honeydew leading to sooty mold, but damage is usually minor. The panicle mite infests the panicles, causing twisted or deformed grains, reduced grain filling, and poor grain quality.

For controlling whitefly and mites in paddy, use integrated pest management approaches. For whitefly control: (1) Use yellow sticky traps for monitoring and mass trapping, (2) Spray neem-based insecticides or PAU homemade neem extract (3) Apply chemical insecticides like Dinotefuran 20 SG at 80 g per acre or Flonicamid 50 WG at 60 g per acre in 100-150 liters of water.

For panicle mite control: (1) Maintain proper field hygiene and remove alternate host weeds, and (2) spray acaricides like Propargite 57% EC at 2 ml/liter or Spiromesifen 22.9% SC at 1 ml/liter of water. Ensure adequate water management and avoid water stress. Apply treatments during early morning or evening hours for better effectiveness. During spraying, target the underside of leaves."
https://workdrive.zoho.in/file/pabggad07d24d05b64aee8fe842a5d7e70519,694f5dba14a8273593a950bc,694f5af414a8273593a9504c,How should sticker be applied when mixed with fungicide for paddy cultivation in Punjab?,"When applying a sticker mixed with fungicide for a paddy crop in Punjab, use a non-ionic sticker or spreader at the rate of 0.5-1 ml per liter of spray solution. Mix the sticker thoroughly with the fungicide solution before spraying. The sticker helps improve adhesion of the fungicide on leaf surfaces, especially during rainy conditions. Apply the mixture using a knapsack sprayer, ensuring uniform coverage of the crop canopy. For best results, spray during early morning or evening hours when the temperature is moderate. The sticker-fungicide combination is particularly effective for managing diseases like blast and sheath blight in paddy. Always follow the recommended dosage mentioned on the fungicide label and maintain a proper spray volume of 150-200 liters per acre for effective disease control."
https://workdrive.zoho.in/file/fh79nc14bcf22945746998ad1107940784379,694f764a14a8273593a951d6,694f5af414a8273593a95047,What is the recommended dose of Indofil Avtar (Zineb 68% + Hexaconazole 4% WP) for controlling leaf blight in rice?,"Indofil Avtar (Zineb 68% + Hexaconazole 4% WP) @ 400-500 g per acre in 200 litres of water can be used for the management of fungal leaf diseases such as leaf blast or brown spot in rice. However, it is not effective against bacterial leaf blight, for which PAU recommends antibiotic + copper-based sprays along with proper nutrient and water management. Always follow the PHI (Pre Harvest Interval) of 34 days."
https://workdrive.zoho.in/file/2ra2h2ec011594ac945da874a4afa83df9c94,694f843114a8273593a9529c,694f5af414a8273593a95089,How can I contact the Chief Agricultural Officer of Mohali for paddy residue waste management?,"For information regarding paddy residue waste management in Mohali district, you can contact the SAS Nagar Mohali district agriculture office through the 0172-5095396 number. The general contact number for the Agriculture Department, Mohali, is available at the district office, or you can visit the official Punjab Agriculture Department website for updated contact details. The Department of Agriculture head office is located at Kheti Bhawan, Plot No. 204, Phase 6, Sector 56, SAS Nagar (Mohali), Punjab 160055, with phone 172-2970603. You can also contact the commissioner of agriculture at 1722970707. You can also contact the Mohali regional pollution control office at 0172-5044900. "
